eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
198,5216,1.3685682006591613,4.1824269235970866e-06,0.9997697247934593,FS(F)(F)(F)(F)F
199,5261,1.366150551005128,4.17114566261703e-06,0.9997738959391219,O[Cl](=O)(=O)=O
200,5261,1.363975060080185,4.072744450532257e-06,0.9997779686835725,O[Cl](=O)(=O)=O
201,3815,1.3794816057217678,4.045938979657962e-06,0.9997820146225521,ClC(Cl)=C(Cl)Cl
202,25579,1.3743970947391,4.021884431424087e-06,0.9997860365069835,S=C1SC2=C(S1)SC(=S)S2
203,155,1.3677146480715137,3.970630241787023e-06,0.9997900071372253,O=C=O
204,1340522,1.377428843335983,3.941860809384158e-06,0.9997939489980348,ClC12C3(Cl)C4(Cl)C5(Cl)C(Cl)(C1(Cl)C4(Cl)Cl)C2(Cl)C(Cl)(Cl)C35Cl
205,8636,1.3726355616601906,3.896761241436201e-06,0.9997978457592762,F[P-](F)(F)(F)(F)F
206,15736,1.3578546888966314,3.8596036644165064e-06,0.9998017053629407,O=C1SC2=C(S1)SSSSS2
207,8636,1.3215404394081587,3.7798798571261784e-06,0.9998054852427978,F[P-](F)(F)(F)(F)F
208,8636,1.3722786629157204,3.745645851192262e-06,0.9998092308886489,F[P-](F)(F)(F)(F)F
209,156,1.3825002570693807,3.6967268602465854e-06,0.9998129276155092,S=C=S
210,2081,1.3718430627380205,3.6585651662289217e-06,0.9998165861806755,[N-]=[N+]=[N-]
211,5216,1.3839423319901274,3.573709849906325e-06,0.9998201598905254,FS(F)(F)(F)(F)F
212,8636,1.3338149333112088,3.5604100196347083e-06,0.999823720300545,F[P-](F)(F)(F)(F)F
213,91523,1.3899357880007117,3.5521222632630467e-06,0.9998272724228082,ClC1(Cl)CS(=O)(=O)CC1(Cl)Cl
214,1793,1.3800108794714987,3.4608082790885743e-06,0.9998307332310873,IC(I)=C(I)I
215,5261,1.353781294345792,3.4009882016065506e-06,0.9998341342192889,O[Cl](=O)(=O)=O
216,84258,1.3806912787633552,3.3610228397392214e-06,0.9998374952421286,Brc1c(Br)c(Br)c(Br)c(Br)c1Br
217,186779,1.3794309190921514,3.342638859720616e-06,0.9998408378809883,ClC(Cl)=C(Cl)C(=C(Cl)Cl)N(=O)=O
218,8636,1.3907144531116469,3.296862370801948e-06,0.9998441347433591,F[P-](F)(F)(F)(F)F
219,8636,1.3669418113364513,3.242325152692545e-06,0.9998473770685118,F[P-](F)(F)(F)(F)F
220,8636,1.3827984855654551,3.2187535450484333e-06,0.9998505958220568,F[P-](F)(F)(F)(F)F
221,5261,1.3630238929737812,3.173018474256062e-06,0.9998537688405311,O[Cl](=O)(=O)=O
222,2081,1.376676053041057,3.1411207925348407e-06,0.9998569099613237,[N-]=[N+]=[N-]
223,56621,1.375267375567905,3.0996674930436958e-06,0.9998600096288167,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl
224,103068,1.3758031169786171,3.061724748863254e-06,0.9998630713535656,ClN1C(=O)N(Cl)C(=O)N(Cl)C1=O
225,1249,1.3704039324214652,3.044086256637246e-06,0.9998661154398222,[O-][N+]#N
226,5216,1.3648553445375249,3.005756094786295e-06,0.999869121195917,FS(F)(F)(F)(F)F
227,2081,1.3770568039149458,2.955069566707973e-06,0.9998720762654837,[N-]=[N+]=[N-]
228,156,1.3810938396732206,2.9131475456625997e-06,0.9998749894130293,S=C=S
229,3190,1.3744032924825704,2.88824046088122e-06,0.9998778776534902,[O-][N+]#[C-]
230,2081,1.378172605126032,2.810150508054082e-06,0.9998806878039983,[N-]=[N+]=[N-]
231,243,1.353459709129845,2.8028892373100087e-06,0.9998834906932356,IC(I)I
232,1249,1.385505550740069,2.7453660569643022e-06,0.9998862360592925,[O-][N+]#N
233,1249,1.3821876912041253,2.7107348062238945e-06,0.9998889467940987,[O-][N+]#N
234,155,1.3840280495273876,2.6698869106216788e-06,0.9998916166810093,O=C=O
235,8636,1.3923646512114054,2.65320495692334e-06,0.9998942698859663,F[P-](F)(F)(F)(F)F
236,31,1.376565114401931,2.629204779081309e-06,0.9998968990907454,N#N
237,704526,1.3819155251210429,2.5782280526911775e-06,0.9998994773187981,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=NP(Cl)(Cl)=N1
238,5216,1.3862075654887487,2.544586449766678e-06,0.9999020219052479,FS(F)(F)(F)(F)F
239,15736,1.3951917321224856,2.4989551031455016e-06,0.9999045208603511,O=C1SC2=C(S1)SSSSS2
240,156,1.3814708508832145,2.4656272491525877e-06,0.9999069864876002,S=C=S
241,243,1.3804310803737914,2.4020373027713358e-06,0.999909388524903,IC(I)I
242,2081,1.3903262337390385,2.3758368594058865e-06,0.9999117643617623,[N-]=[N+]=[N-]
243,5216,1.3660474144042984,2.3516157036206934e-06,0.9999141159774659,FS(F)(F)(F)(F)F
244,8636,1.370519486441594,2.2967164767274556e-06,0.9999164126939427,F[P-](F)(F)(F)(F)F
245,155,1.386649415004274,2.2841028221011363e-06,0.9999186967967648,O=C=O
246,4040,1.3857355108504363,2.2505661850289386e-06,0.9999209473629499,O[I](=O)(=O)=O
247,426821,1.3853903323631924,2.2094660992694074e-06,0.9999231568290492,ClC(Cl)=C1C(=C(Cl)Cl)C(Cl)(Cl)C1(Cl)Cl
248,156,1.3906465002308257,2.1757229077606656e-06,0.9999253325519569,S=C=S
249,5261,1.3576022716437857,2.1543336581898664e-06,0.9999274868856152,O[Cl](=O)(=O)=O
250,5261,1.3751785935687622,2.1128139120741764e-06,0.9999295996995272,O[Cl](=O)(=O)=O
251,2081,1.3756248403144489,2.0923426255469116e-06,0.9999316920421527,[N-]=[N+]=[N-]
252,31,1.3849033169788911,2.0493510886459772e-06,0.9999337413932413,N#N
253,5261,1.3796109430420465,2.0416342355109932e-06,0.9999357830274769,O[Cl](=O)(=O)=O
254,3190,1.3887961360407899,1.999992757570226e-06,0.9999377830202344,[O-][N+]#[C-]
255,155,1.3780591176289871,1.951656832398686e-06,0.9999397346770668,O=C=O
256,1220,1.3585986996375337,1.9290976029050114e-06,0.9999416637746696,FC(F)=C(F)F
257,7586,1.3948957861254998,1.9063533174572784e-06,0.9999435701279871,OC1C=CC#CCSCC#C1
258,8636,1.3518059403505944,1.8460460148238107e-06,0.9999454161740019,F[P-](F)(F)(F)(F)F
