eigenvector_idx,nearest_molecule_idx,distance,explained_variance_ratio,cumulative_variance_ratio,smiles
121,265374,1.3247036092872195,0.0011993783275198754,0.8767487754829502,COc1ccc(OCCCNC(=O)NCc2csc(C)n2)cc1
122,146806,1.351816501960906,0.0011913147546740697,0.8779400902376242,COCCC1(CNC(=O)NC2CCCN(C)C2)CC1
123,388,1.3263317647670883,0.0011846306248178414,0.8791247208624421,NCC(F)F
124,14402,1.3257906685318228,0.0011528832357409105,0.880277604098183,C1COCCOCCOCCOCCOCCO1
125,529454,1.3566583855834968,0.001128056250225868,0.8814056603484088,CCCCN(C(=O)NC(=O)Nc1ccccc1OCC)S(C)(=O)=O
126,341,1.2760352312782897,0.0011201830788758597,0.8825258434272847,NC(=O)CF
127,7007,1.3224540696098814,0.0011068909266752941,0.88363273435396,OC[P+](CO)(CO)CO
128,20,1.3554159875436367,0.0010877130859362851,0.8847204474398962,NC#N
129,295980,1.3279381156702703,0.0010778938523264762,0.8857983412922227,Cc1cc(CCC(=O)NCc2ccc(F)cc2Cl)n(C)n1
130,491460,1.3346173963019048,0.001071271574012867,0.8868696128662356,COc1cc(NC(=O)CCCCCNS(N)(=O)=O)c2ncccc2c1
131,252921,1.2850715179142562,0.0010425229288073732,0.8879121357950429,O=C(NCc1nnc2CCCCn12)N1CCc2sccc2C1
132,1113,1.341247994377537,0.001033831758602045,0.888945967553645,C[S+](C)CCO
133,146,1.343962442930922,0.0010089040503942477,0.8899548716040392,C1CC1
134,13692,1.350965288011563,0.001002401827954086,0.8909572734319933,CS(=O)c1ccc2CCNCc2c1
135,461803,1.2912972114049925,0.0009916350008554325,0.8919489084328487,COCC(=O)NC1CN(Cc2c[nH]nc2-c2cccs2)CC1O
136,441983,1.3038868244863149,0.0009789356013872807,0.892927844034236,Cc1ccccc1OCC(=O)Nc1ccc(OCC(O)=O)c(F)c1
137,358395,1.3081441158635678,0.0009723138732684454,0.8939001579075044,CCN(CC)Cc1cnc2CCN(Cc3c(C)noc3C)CCn12
138,448659,1.3501207960190735,0.0009647140379285395,0.894864871945433,Cc1cc(NC(=O)CCCN2C(=O)c3cccnc3C2=O)no1
139,1477,1.2890859904637326,0.0009496595966202041,0.8958145315420531,CCCCCCCCCCCCO
